"","region","species","year","spawners","smoothedSpawners","runsize","smoothedRunsize","spawners_short_trend","spawners_short_trend_lwr","spawners_short_trend_upr","spawners_long_trend","spawners_long_trend_lwr","spawners_long_trend_upr","runsize_short_trend","runsize_short_trend_lwr","runsize_short_trend_upr","runsize_long_trend","runsize_long_trend_lwr","runsize_long_trend_upr"
"1","Vancouver Island & Mainland Inlets","Chinook",2005,101833.542,168751.0122,NA,NA,NA,NA,NA,133771.2286,119194.41,150130.7117,NA,NA,NA,NA,NA,NA
"2","Vancouver Island & Mainland Inlets","Chinook",2006,159560.9723,164007.4755,NA,NA,NA,NA,NA,135430.3703,120326.8193,152429.7351,NA,NA,NA,NA,NA,NA
"3","Vancouver Island & Mainland Inlets","Chinook",2007,86384.17531,128538.3323,NA,NA,NA,NA,NA,137110.09,121459.5725,154777.235,NA,NA,NA,NA,NA,NA
"4","Vancouver Island & Mainland Inlets","Chinook",2008,95747.65535,107670.0729,NA,NA,NA,NA,NA,138810.6431,122593.2279,157173.4015,NA,NA,NA,NA,NA,NA
"5","Vancouver Island & Mainland Inlets","Chinook",2009,107050.5358,109023.3457,NA,NA,NA,NA,NA,140532.2878,123728.3173,159618.4636,NA,NA,NA,NA,NA,NA
"6","Vancouver Island & Mainland Inlets","Chinook",2010,110317.7259,99414.37011,NA,NA,NA,NA,NA,142275.2857,124865.3451,162112.6895,NA,NA,NA,NA,NA,NA
"7","Vancouver Island & Mainland Inlets","Chinook",2011,129273.4692,109955.7548,NA,NA,126921.9729,106660.9725,151031.6925,144039.9018,126004.789,164656.387,NA,NA,NA,NA,NA,NA
"8","Vancouver Island & Mainland Inlets","Chinook",2012,90014.92075,108271.5998,NA,NA,134724.176,115737.9351,156825.0167,145826.4041,127147.1003,167249.9025,NA,NA,NA,NA,NA,NA
"9","Vancouver Island & Mainland Inlets","Chinook",2013,288374.6808,138709.6314,NA,NA,143005.9996,125364.1657,163130.4752,147635.064,128292.7049,169893.6206,NA,NA,NA,NA,NA,NA
"10","Vancouver Island & Mainland Inlets","Chinook",2014,186637.9156,158195.9123,NA,NA,151796.9271,135421.0042,170153.125,149466.1565,129442.0048,172587.9631,NA,NA,NA,NA,NA,NA
"11","Vancouver Island & Mainland Inlets","Chinook",2015,227996.27,182305.5282,NA,NA,161128.2543,145677.2302,178218.0666,151319.9597,130595.3789,175333.3878,NA,NA,NA,NA,NA,NA
"12","Vancouver Island & Mainland Inlets","Chinook",2016,235236.4309,231791.417,NA,NA,171033.2009,155778.7724,187781.3989,153196.7553,131753.1846,178130.3876,NA,NA,NA,NA,NA,NA
"13","Vancouver Island & Mainland Inlets","Chinook",2017,216972.6102,215878.4536,NA,NA,181547.0288,165354.8734,199324.7794,155096.8285,132915.7593,180979.4891,NA,NA,NA,NA,NA,NA
"14","Vancouver Island & Mainland Inlets","Chinook",2018,184448.8339,215242.6389,NA,NA,192707.1672,174227.9558,213146.3469,157020.468,134083.4214,183881.2518,NA,NA,NA,NA,NA,NA
"15","Vancouver Island & Mainland Inlets","Chinook",2019,183830.3949,203962.6771,NA,NA,204553.3467,182486.0368,229289.1684,158967.966,135256.472,186836.2663,NA,NA,NA,NA,NA,NA
"16","Vancouver Island & Mainland Inlets","Chinook",2020,228198.228,202419.6294,NA,NA,217127.7396,190341.9297,247682.9744,160939.6186,136435.1959,189845.1543,NA,NA,NA,NA,NA,NA
"17","Vancouver Island & Mainland Inlets","Chinook",2021,208991.8496,200532.0228,NA,NA,230475.1111,197995.0016,268283.4234,162935.7251,137619.8631,192908.5666,NA,NA,NA,NA,NA,NA
"18","Vancouver Island & Mainland Inlets","Chinook",2022,226248.4605,211038.2433,NA,NA,244642.9781,205589.7602,291114.6289,164956.5891,138810.7298,196027.1827,NA,NA,NA,NA,NA,NA
"19","Vancouver Island & Mainland Inlets","Chum",2005,2184098.635,2145205.832,NA,NA,NA,NA,NA,1448127.773,1323176.839,1584878.14,NA,NA,NA,NA,NA,NA
"20","Vancouver Island & Mainland Inlets","Chum",2006,1455915.098,1943140.597,NA,NA,NA,NA,NA,1458582.793,1329740.692,1599908.747,NA,NA,NA,NA,NA,NA
"21","Vancouver Island & Mainland Inlets","Chum",2007,1444871.26,1787974.479,NA,NA,NA,NA,NA,1469113.295,1336247.495,1615190.212,NA,NA,NA,NA,NA,NA
"22","Vancouver Island & Mainland Inlets","Chum",2008,1033383.186,1476130.362,NA,NA,NA,NA,NA,1479719.824,1342702.521,1630719.183,NA,NA,NA,NA,NA,NA
"23","Vancouver Island & Mainland Inlets","Chum",2009,1074593.737,1236282.518,NA,NA,NA,NA,NA,1490402.929,1349110.724,1646492.65,NA,NA,NA,NA,NA,NA
"24","Vancouver Island & Mainland Inlets","Chum",2010,713774.006,1034484.287,NA,NA,NA,NA,NA,1501163.162,1355476.739,1662507.939,NA,NA,NA,NA,NA,NA
"25","Vancouver Island & Mainland Inlets","Chum",2011,2091962.892,1134762.837,NA,NA,1666261.154,1241285.325,2236734.921,1512001.081,1361804.894,1678762.706,NA,NA,NA,NA,NA,NA
"26","Vancouver Island & Mainland Inlets","Chum",2012,1874260.06,1316883.083,NA,NA,1581939.368,1223222.813,2045851.449,1522917.246,1368099.221,1695254.923,NA,NA,NA,NA,NA,NA
"27","Vancouver Island & Mainland Inlets","Chum",2013,1413004.118,1410171.714,NA,NA,1501884.719,1201798.622,1876901.56,1533912.222,1374363.468,1711982.864,NA,NA,NA,NA,NA,NA
"28","Vancouver Island & Mainland Inlets","Chum",2014,1295161.667,1636676.369,NA,NA,1425881.266,1175307.631,1729876.783,1544986.579,1380601.119,1728945.092,NA,NA,NA,NA,NA,NA
"29","Vancouver Island & Mainland Inlets","Chum",2015,1519374.969,1510916.834,NA,NA,1353723.996,1141332.756,1605639.239,1556140.889,1386815.407,1746140.44,NA,NA,NA,NA,NA,NA
"30","Vancouver Island & Mainland Inlets","Chum",2016,3122323.508,1716534.639,NA,NA,1285218.274,1097210.258,1505441.641,1567375.729,1393009.331,1763567.997,NA,NA,NA,NA,NA,NA
"31","Vancouver Island & Mainland Inlets","Chum",2017,1339368.232,1693720.38,NA,NA,1220179.309,1041685.511,1429258.188,1578691.681,1399185.672,1781227.091,NA,NA,NA,NA,NA,NA
"32","Vancouver Island & Mainland Inlets","Chum",2018,1165460.346,1649624.481,NA,NA,1158431.667,976680.631,1374004.852,1590089.331,1405347.01,1799117.274,NA,NA,NA,NA,NA,NA
"33","Vancouver Island & Mainland Inlets","Chum",2019,500661.3308,1249841.282,NA,NA,1099808.787,906536.6739,1334286.194,1601569.269,1411495.735,1817238.308,NA,NA,NA,NA,NA,NA
"34","Vancouver Island & Mainland Inlets","Chum",2020,1130918.395,969601.3424,NA,NA,1044152.541,835524.238,1304874.807,1613132.087,1417634.068,1835590.149,NA,NA,NA,NA,NA,NA
"35","Vancouver Island & Mainland Inlets","Chum",2021,495607.379,756227.8232,NA,NA,991312.8005,766525.2263,1282020.519,1624778.386,1423764.069,1854172.936,NA,NA,NA,NA,NA,NA
"36","Vancouver Island & Mainland Inlets","Chum",2022,633678.3335,649374.8909,NA,NA,941147.0355,701109.7876,1263365.25,1636508.767,1429887.649,1872986.978,NA,NA,NA,NA,NA,NA
"37","Vancouver Island & Mainland Inlets","Coho",2005,279752.8709,438982.1786,NA,NA,NA,NA,NA,345532.2687,318670.6153,374658.1674,NA,NA,NA,NA,NA,NA
"38","Vancouver Island & Mainland Inlets","Coho",2006,233312.6704,357548.9064,NA,NA,NA,NA,NA,343345.3526,316016.6993,373037.3471,NA,NA,NA,NA,NA,NA
"39","Vancouver Island & Mainland Inlets","Coho",2007,262242.5568,309479.1461,NA,NA,NA,NA,NA,341172.2777,313366.038,371445.8778,NA,NA,NA,NA,NA,NA
"40","Vancouver Island & Mainland Inlets","Coho",2008,270808.2303,260927.2837,NA,NA,NA,NA,NA,339012.9565,310720.2559,369881.8551,NA,NA,NA,NA,NA,NA
